7,7 7,5
7,5 7,9 7,9
7,9 8,10 7,9
7,9 7,7 7,10
7,11 7,8 7,10
7,9 8,8 7,8
7,9 7,9 7,9
7,9 7,9 8,10
7,8 7,8 7,9
7,12 7,9 7,9
7,9 7,9 7,9
7,9 7,7 6,4
7,4 7,7 7,6
7,7 7,4 7,4
7,6 7,5 7,4
7,5 7,6 7,6
7,6 7,4 7,4
7,4 7,6 7,5
7,4 7,7 8,9
7,10 7,9 7,8
7,9 7,8 7,12
7,10 7,9 7,9
7,8 7,7 7,5
7,6 7,4 8,9
7,8 7,7 7,6
7,5 7,8 6,9
7,8 7,11 7,9
7,17 7,14 7,13
8,12 7,10 7,12
7,14 7,14 7,14
7,13 7,11 7,8
7,8 7,8 7,6
7,7 7,6 7,7
7,8 7,9 7,11
7,7 7,8 7,8
7,13 7,11 7,1
7,7 7,8 7,11
7,7 7,8 8,7
7,8 7,9 7,8
7,7 7,6 7,7
