Test results Haydn_Symphony_104_London:
=============
Staffs on page 1, system 1 don't match: expected 12 staffs, but found 11 staffs
Staffs on page 4, system 1 don't match: expected 11 staffs, but found 9 staffs
Staffs on page 8, system 2 don't match: expected 10 staffs, but found 9 staffs
Staffs on page 15, system 2 don't match: expected 11 staffs, but found 8 staffs
Systems on page 17 don't match: expected 2 systems, but found 1 systems
Staffs on page 18, system 1 don't match: expected 11 staffs, but found 9 staffs
Staffs on page 23, system 1 don't match: expected 11 staffs, but found 10 staffs
Measures on page 24, system 2 don't match: expected 7 measures, but found 8 measures
Measures on page 25, system 2 don't match: expected 6 measures, but found 7 measures
Staffs on page 25, system 3 don't match: expected 11 staffs, but found 8 staffs
Staffs on page 26, system 2 don't match: expected 7 staffs, but found 6 staffs
Measures on page 27, system 1 don't match: expected 3 measures, but found 8 measures
Staffs on page 27, system 2 don't match: expected 7 staffs, but found 8 staffs
Measures on page 27, system 2 don't match: expected 6 measures, but found 9 measures
Staffs on page 28, system 2 don't match: expected 11 staffs, but found 9 staffs
Staffs on page 30, system 1 don't match: expected 6 staffs, but found 4 staffs
Staffs on page 32, system 2 don't match: expected 4 staffs, but found 5 staffs
Staffs on page 35, system 3 don't match: expected 8 staffs, but found 9 staffs
Staffs on page 36, system 1 don't match: expected 11 staffs, but found 10 staffs
Staffs on page 36, system 2 don't match: expected 7 staffs, but found 6 staffs
Measures on page 37, system 1 don't match: expected 9 measures, but found 10 measures
Systems on page 38 don't match: expected 2 systems, but found 1 systems
Measures on page 39, system 1 don't match: expected 8 measures, but found 9 measures
Staffs on page 40, system 3 don't match: expected 6 staffs, but found 7 staffs
Staffs on page 41, system 2 don't match: expected 12 staffs, but found 10 staffs
Staffs on page 43, system 2 don't match: expected 11 staffs, but found 9 staffs
Staffs on page 44, system 1 don't match: expected 11 staffs, but found 10 staffs
Staffs on page 46, system 1 don't match: expected 11 staffs, but found 10 staffs
Staffs on page 46, system 2 don't match: expected 12 staffs, but found 13 staffs
Measures on page 46, system 2 don't match: expected 5 measures, but found 7 measures
Staffs on page 48, system 1 don't match: expected 12 staffs, but found 10 staffs
Staffs on page 48, system 2 don't match: expected 9 staffs, but found 8 staffs
Staffs on page 50, system 1 don't match: expected 10 staffs, but found 9 staffs
Staffs on page 51, system 1 don't match: expected 11 staffs, but found 10 staffs
Staffs on page 54, system 1 don't match: expected 9 staffs, but found 10 staffs
Staffs on page 55, system 1 don't match: expected 11 staffs, but found 6 staffs
Staffs on page 56, system 1 don't match: expected 11 staffs, but found 12 staffs
Staffs on page 57, system 1 don't match: expected 11 staffs, but found 6 staffs
Measures on page 59, system 1 don't match: expected 8 measures, but found 7 measures
Staffs on page 61, system 2 don't match: expected 11 staffs, but found 9 staffs
Staffs on page 62, system 1 don't match: expected 11 staffs, but found 9 staffs
Staffs on page 62, system 2 don't match: expected 11 staffs, but found 12 staffs
