Test results Beethoven_Septett:
=============
Measures on page 1, system 2 don't match: expected 6 measures, but found 5 measures
Staffs on page 3, system 2 don't match: expected 7 staffs, but found 8 staffs
Staffs on page 6, system 2 don't match: expected 7 staffs, but found 8 staffs
Staffs on page 8, system 3 don't match: expected 7 staffs, but found 8 staffs
Staffs on page 12, system 3 don't match: expected 7 staffs, but found 6 staffs
Staffs on page 19, system 3 don't match: expected 7 staffs, but found 8 staffs
Measures on page 20, system 1 don't match: expected 9 measures, but found 10 measures
Measures on page 24, system 1 don't match: expected 5 measures, but found 6 measures
Staffs on page 24, system 3 don't match: expected 7 staffs, but found 8 staffs
Measures on page 25, system 1 don't match: expected 7 measures, but found 8 measures
Staffs on page 26, system 3 don't match: expected 7 staffs, but found 6 staffs
Measures on page 27, system 3 don't match: expected 10 measures, but found 9 measures
Measures on page 28, system 2 don't match: expected 13 measures, but found 14 measures
Staffs on page 29, system 1 don't match: expected 7 staffs, but found 8 staffs
Staffs on page 38, system 3 don't match: expected 7 staffs, but found 8 staffs
