Test results Debussy_La_Mer:
=============
Staffs on page 5, system 1 don't match: expected 18 staffs, but found 16 staffs
Staffs on page 8, system 1 don't match: expected 17 staffs, but found 21 staffs
Staffs on page 15, system 1 don't match: expected 19 staffs, but found 22 staffs
Staffs on page 17, system 1 don't match: expected 18 staffs, but found 22 staffs
Staffs on page 27, system 1 don't match: expected 19 staffs, but found 17 staffs
Staffs on page 28, system 1 don't match: expected 12 staffs, but found 11 staffs
Staffs on page 29, system 1 don't match: expected 17 staffs, but found 18 staffs
Staffs on page 30, system 1 don't match: expected 23 staffs, but found 22 staffs
Staffs on page 31, system 1 don't match: expected 23 staffs, but found 19 staffs
Staffs on page 32, system 1 don't match: expected 19 staffs, but found 18 staffs
Measures on page 33, system 1 don't match: expected 4 measures, but found 5 measures
Staffs on page 34, system 2 don't match: expected 11 staffs, but found 9 staffs
Measures on page 34, system 2 don't match: expected 4 measures, but found 5 measures
Staffs on page 35, system 2 don't match: expected 12 staffs, but found 11 staffs
Measures on page 35, system 2 don't match: expected 5 measures, but found 6 measures
Staffs on page 43, system 1 don't match: expected 16 staffs, but found 17 staffs
Staffs on page 45, system 1 don't match: expected 12 staffs, but found 11 staffs
Staffs on page 60, system 1 don't match: expected 19 staffs, but found 20 staffs
Staffs on page 61, system 1 don't match: expected 19 staffs, but found 20 staffs
Staffs on page 63, system 1 don't match: expected 19 staffs, but found 20 staffs
Measures on page 64, system 1 don't match: expected 6 measures, but found 7 measures
Staffs on page 68, system 1 don't match: expected 16 staffs, but found 17 staffs
Staffs on page 71, system 1 don't match: expected 16 staffs, but found 17 staffs
Staffs on page 72, system 1 don't match: expected 15 staffs, but found 18 staffs
Staffs on page 75, system 1 don't match: expected 16 staffs, but found 17 staffs
Staffs on page 76, system 2 don't match: expected 15 staffs, but found 11 staffs
Staffs on page 77, system 1 don't match: expected 14 staffs, but found 16 staffs
Staffs on page 77, system 2 don't match: expected 9 staffs, but found 10 staffs
Staffs on page 80, system 1 don't match: expected 11 staffs, but found 13 staffs
Staffs on page 87, system 1 don't match: expected 17 staffs, but found 18 staffs
Measures on page 87, system 1 don't match: expected 5 measures, but found 4 measures
Staffs on page 89, system 1 don't match: expected 15 staffs, but found 18 staffs
Staffs on page 90, system 1 don't match: expected 15 staffs, but found 12 staffs
Staffs on page 91, system 1 don't match: expected 15 staffs, but found 16 staffs
Staffs on page 93, system 1 don't match: expected 15 staffs, but found 17 staffs
Staffs on page 97, system 1 don't match: expected 16 staffs, but found 17 staffs
Staffs on page 102, system 1 don't match: expected 15 staffs, but found 18 staffs
Measures on page 105, system 1 don't match: expected 9 measures, but found 10 measures
Staffs on page 107, system 2 don't match: expected 9 staffs, but found 10 staffs
Staffs on page 108, system 1 don't match: expected 14 staffs, but found 15 staffs
Staffs on page 111, system 1 don't match: expected 14 staffs, but found 15 staffs
Staffs on page 112, system 1 don't match: expected 14 staffs, but found 15 staffs
Staffs on page 113, system 1 don't match: expected 18 staffs, but found 19 staffs
Staffs on page 116, system 1 don't match: expected 18 staffs, but found 21 staffs
Measures on page 116, system 1 don't match: expected 5 measures, but found 4 measures
Measures on page 119, system 1 don't match: expected 5 measures, but found 6 measures
Staffs on page 119, system 2 don't match: expected 13 staffs, but found 7 staffs
Measures on page 123, system 1 don't match: expected 4 measures, but found 3 measures
Measures on page 126, system 1 don't match: expected 6 measures, but found 5 measures
Staffs on page 129, system 1 don't match: expected 25 staffs, but found 26 staffs
Staffs on page 132, system 1 don't match: expected 24 staffs, but found 21 staffs
Measures on page 132, system 1 don't match: expected 4 measures, but found 2 measures
Staffs on page 135, system 1 don't match: expected 23 staffs, but found 22 staffs
