Test results Haydn_Symphony_104_London:
=============
Staffs on page 5, system 2 don't match: expected 10 staffs, but found 12 staffs
Staffs on page 8, system 2 don't match: expected 10 staffs, but found 9 staffs
Staffs on page 18, system 1 don't match: expected 11 staffs, but found 10 staffs
Staffs on page 21, system 2 don't match: expected 11 staffs, but found 10 staffs
Staffs on page 23, system 1 don't match: expected 11 staffs, but found 10 staffs
Measures on page 24, system 2 don't match: expected 7 measures, but found 8 measures
Measures on page 25, system 2 don't match: expected 6 measures, but found 7 measures
Staffs on page 25, system 3 don't match: expected 11 staffs, but found 10 staffs
Measures on page 27, system 1 don't match: expected 3 measures, but found 8 measures
Staffs on page 27, system 2 don't match: expected 7 staffs, but found 8 staffs
Measures on page 27, system 2 don't match: expected 6 measures, but found 9 measures
Staffs on page 30, system 1 don't match: expected 6 staffs, but found 4 staffs
Staffs on page 32, system 2 don't match: expected 4 staffs, but found 8 staffs
Staffs on page 34, system 2 don't match: expected 10 staffs, but found 11 staffs
Staffs on page 35, system 3 don't match: expected 8 staffs, but found 10 staffs
Systems on page 36 don't match: expected 2 systems, but found 3 systems
Measures on page 37, system 1 don't match: expected 9 measures, but found 10 measures
Staffs on page 38, system 2 don't match: expected 11 staffs, but found 10 staffs
Measures on page 38, system 2 don't match: expected 11 measures, but found 12 measures
Measures on page 39, system 1 don't match: expected 8 measures, but found 9 measures
Staffs on page 40, system 3 don't match: expected 6 staffs, but found 9 staffs
Staffs on page 41, system 1 don't match: expected 6 staffs, but found 7 staffs
Staffs on page 41, system 2 don't match: expected 12 staffs, but found 10 staffs
Staffs on page 43, system 2 don't match: expected 11 staffs, but found 9 staffs
Staffs on page 46, system 1 don't match: expected 11 staffs, but found 10 staffs
Measures on page 46, system 2 don't match: expected 5 measures, but found 7 measures
Staffs on page 47, system 2 don't match: expected 12 staffs, but found 13 staffs
Staffs on page 48, system 1 don't match: expected 12 staffs, but found 11 staffs
Staffs on page 50, system 1 don't match: expected 10 staffs, but found 7 staffs
Staffs on page 50, system 2 don't match: expected 10 staffs, but found 9 staffs
Staffs on page 52, system 2 don't match: expected 11 staffs, but found 8 staffs
Staffs on page 54, system 1 don't match: expected 9 staffs, but found 10 staffs
Staffs on page 56, system 1 don't match: expected 11 staffs, but found 12 staffs
Measures on page 59, system 1 don't match: expected 8 measures, but found 7 measures
Staffs on page 61, system 2 don't match: expected 11 staffs, but found 10 staffs
Staffs on page 62, system 1 don't match: expected 11 staffs, but found 10 staffs
